latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
19.39634,-155.28526,440.01,1.01,1,01-01-2025,34,Aqua,MODIS,100,6.1NRT,333.06,584.18,D
19.39773,-155.27597,375.29,1.01,1,01-01-2025,34,Aqua,MODIS,100,6.1NRT,305.97,126.82,D
19.41254,-155.29747,330.6,1.01,1,01-01-2025,34,Aqua,MODIS,81,6.1NRT,301.39,20.32,D
19.41392,-155.28819,374.04,1.01,1,01-01-2025,34,Aqua,MODIS,100,6.1NRT,308.74,121.65,D
19.40375,-155.29602,496.72,1.01,1,01-01-2025,34,Aqua,MODIS,100,6.1NRT,400.07,1535.91,D
19.40512,-155.28676,504.97,1.01,1,01-01-2025,34,Aqua,MODIS,100,6.1NRT,400.07,1732.01,D
19.40651,-155.27747,424.78,1.01,1,01-01-2025,34,Aqua,MODIS,100,6.1NRT,331.22,432.5,D
19.39495,-155.29456,374.17,1.01,1,01-01-2025,34,Aqua,MODIS,100,6.1NRT,312.44,120.06,D
29.7495,-90.416,302.9,1,1,01-01-2025,317,Terra,MODIS,52,6.1NRT,284.01,7.49,N
35.65184,-89.93649,307.91,1.08,1.04,01-01-2025,319,Terra,MODIS,73,6.1NRT,276.36,13.83,N
33.30892,-89.34343,300.92,1.08,1.04,01-01-2025,319,Terra,MODIS,35,6.1NRT,275.36,9.26,N
19.40193,-155.29202,480.2,2.22,1.44,01-01-2025,809,Terra,MODIS,100,6.1NRT,327.78,3805.59,N
19.39986,-155.31239,315.1,2.21,1.44,01-01-2025,809,Terra,MODIS,79,6.1NRT,287.87,42.82,N
19.39571,-155.35301,306.89,2.19,1.44,01-01-2025,809,Terra,MODIS,50,6.1NRT,285.9,28.38,N
19.41681,-155.27261,328.32,2.23,1.45,01-01-2025,809,Terra,MODIS,100,6.1NRT,291.02,88.83,N
19.41461,-155.29398,370.96,2.22,1.44,01-01-2025,809,Terra,MODIS,100,6.1NRT,293.38,385.11,N
19.40172,-155.28517,486.21,2.22,1.44,01-01-2025,809,Terra,MODIS,100,6.1NRT,331.5,4180.45,N
19.40396,-155.26465,322.78,2.23,1.45,01-01-2025,809,Terra,MODIS,100,6.1NRT,290.9,68.38,N
19.39946,-155.30586,385.57,2.21,1.44,01-01-2025,809,Terra,MODIS,100,6.1NRT,295.04,564.66,N
19.39508,-155.34596,310.52,2.19,1.44,01-01-2025,809,Terra,MODIS,61,6.1NRT,286.55,34.13,N
19.40406,-155.27113,412.93,2.23,1.45,01-01-2025,809,Terra,MODIS,100,6.1NRT,303.65,1095.77,N
28.85614,-100.5233,306.99,1.02,1.01,01-01-2025,921,Aqua,MODIS,70,6.1NRT,276.55,12.81,N
19.39899,-155.2964,321.75,1.46,1.19,01-01-2025,1242,Aqua,MODIS,100,6.1NRT,284.98,34.64,N
19.41992,-155.29308,319.22,1.46,1.19,01-01-2025,1242,Aqua,MODIS,98,6.1NRT,286.45,30.21,N
